index,code,original_file,renamed_reference,scene,season,outfit,location_type,shot_type
1,eunbi_001_hanok_pink_top_side_073350,base_images/eunbi/스크린샷 2026-05-20 오후 7.33.50.png,characters/woongbbi/eunbi/source_images/eunbi_001_hanok_pink_top_side_073350.jpg,tropical_coast_and_hanok_trip,summer,pink/green summer tops with denim or swimwear,"outdoor travel, seaside, traditional architecture",half_body_to_full_body
2,eunbi_002_boat_ocean_white_top_073410,base_images/eunbi/스크린샷 2026-05-20 오후 7.34.10.png,characters/woongbbi/eunbi/source_images/eunbi_002_boat_ocean_white_top_073410.jpg,tropical_coast_and_hanok_trip,summer,pink/green summer tops with denim or swimwear,"outdoor travel, seaside, traditional architecture",half_body_to_full_body
3,eunbi_003_beach_green_top_sunglasses_073421,base_images/eunbi/스크린샷 2026-05-20 오후 7.34.21.png,characters/woongbbi/eunbi/source_images/eunbi_003_beach_green_top_sunglasses_073421.jpg,tropical_coast_and_hanok_trip,summer,pink/green summer tops with denim or swimwear,"outdoor travel, seaside, traditional architecture",half_body_to_full_body
4,eunbi_004_tulip_white_blazer_collage_073437,base_images/eunbi/스크린샷 2026-05-20 오후 7.34.37.png,characters/woongbbi/eunbi/source_images/eunbi_004_tulip_white_blazer_collage_073437.jpg,cafe_riverside_station_city,spring_to_summer,white cardigan or sleeveless black/white city casual,"cafe, riverside park, station, city landmark",portrait_to_full_body
5,eunbi_005_cafe_mirror_brown_jacket_073446,base_images/eunbi/스크린샷 2026-05-20 오후 7.34.46.png,characters/woongbbi/eunbi/source_images/eunbi_005_cafe_mirror_brown_jacket_073446.jpg,cafe_riverside_station_city,spring_to_summer,white cardigan or sleeveless black/white city casual,"cafe, riverside park, station, city landmark",portrait_to_full_body
6,eunbi_006_cafe_smile_black_sleeveless_073456,base_images/eunbi/스크린샷 2026-05-20 오후 7.34.56.png,characters/woongbbi/eunbi/source_images/eunbi_006_cafe_smile_black_sleeveless_073456.jpg,cafe_riverside_station_city,spring_to_summer,white cardigan or sleeveless black/white city casual,"cafe, riverside park, station, city landmark",portrait_to_full_body
7,eunbi_007_riverside_white_cardigan_seated_073506,base_images/eunbi/스크린샷 2026-05-20 오후 7.35.06.png,characters/woongbbi/eunbi/source_images/eunbi_007_riverside_white_cardigan_seated_073506.jpg,cafe_riverside_station_city,spring_to_summer,white cardigan or sleeveless black/white city casual,"cafe, riverside park, station, city landmark",portrait_to_full_body
8,eunbi_008_riverside_white_cardigan_close_073515,base_images/eunbi/스크린샷 2026-05-20 오후 7.35.15.png,characters/woongbbi/eunbi/source_images/eunbi_008_riverside_white_cardigan_close_073515.jpg,cafe_riverside_station_city,spring_to_summer,white cardigan or sleeveless black/white city casual,"cafe, riverside park, station, city landmark",portrait_to_full_body
9,eunbi_009_station_selfie_white_knit_073523,base_images/eunbi/스크린샷 2026-05-20 오후 7.35.23.png,characters/woongbbi/eunbi/source_images/eunbi_009_station_selfie_white_knit_073523.jpg,cafe_riverside_station_city,spring_to_summer,white cardigan or sleeveless black/white city casual,"cafe, riverside park, station, city landmark",portrait_to_full_body
10,eunbi_010_cathedral_stripe_sleeveless_073535,base_images/eunbi/스크린샷 2026-05-20 오후 7.35.35.png,characters/woongbbi/eunbi/source_images/eunbi_010_cathedral_stripe_sleeveless_073535.jpg,cafe_riverside_station_city,spring_to_summer,white cardigan or sleeveless black/white city casual,"cafe, riverside park, station, city landmark",portrait_to_full_body
11,eunbi_011_resort_green_bikini_sunset_073546,base_images/eunbi/스크린샷 2026-05-20 오후 7.35.46.png,characters/woongbbi/eunbi/source_images/eunbi_011_resort_green_bikini_sunset_073546.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
12,eunbi_012_hammock_green_bikini_portrait_073554,base_images/eunbi/스크린샷 2026-05-20 오후 7.35.54.png,characters/woongbbi/eunbi/source_images/eunbi_012_hammock_green_bikini_portrait_073554.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
13,eunbi_013_hammock_green_bikini_alt_073604,base_images/eunbi/스크린샷 2026-05-20 오후 7.36.04.png,characters/woongbbi/eunbi/source_images/eunbi_013_hammock_green_bikini_alt_073604.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
14,eunbi_014_balcony_black_tee_back_073613,base_images/eunbi/스크린샷 2026-05-20 오후 7.36.13.png,characters/woongbbi/eunbi/source_images/eunbi_014_balcony_black_tee_back_073613.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
15,eunbi_015_anime_wall_fuzzy_hat_073630,base_images/eunbi/스크린샷 2026-05-20 오후 7.36.30.png,characters/woongbbi/eunbi/source_images/eunbi_015_anime_wall_fuzzy_hat_073630.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
16,eunbi_016_doorway_fuzzy_hat_peace_073639,base_images/eunbi/스크린샷 2026-05-20 오후 7.36.39.png,characters/woongbbi/eunbi/source_images/eunbi_016_doorway_fuzzy_hat_peace_073639.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
17,eunbi_017_city_street_white_cardigan_073655,base_images/eunbi/스크린샷 2026-05-20 오후 7.36.55.png,characters/woongbbi/eunbi/source_images/eunbi_017_city_street_white_cardigan_073655.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
18,eunbi_018_city_street_playful_pose_073703,base_images/eunbi/스크린샷 2026-05-20 오후 7.37.03.png,characters/woongbbi/eunbi/source_images/eunbi_018_city_street_playful_pose_073703.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
19,eunbi_019_riverside_picnic_tree_073715,base_images/eunbi/스크린샷 2026-05-20 오후 7.37.15.png,characters/woongbbi/eunbi/source_images/eunbi_019_riverside_picnic_tree_073715.jpg,resort_pool_ocean_snorkel,summer,"green bikini, pink swimwear, rash guard, casual vacation wear","resort, beach, pool, ocean, sunset",swimwear_full_body
